id,Player,Seasons,Possessions,Rapm
380,LeBron James,2017-21,67958,5.42
128,Stephen Curry,2017-21,54315,5.4
514,Joel Embiid,2017-21,41599,4.98
820,Chris Paul,2017-21,56847,4.28
649,Giannis Antetokounmpo,2017-21,65708,4.22
250,Nikola Jokic,2017-21,59427,4.05
445,Kawhi Leonard,2017-21,51386,4.04
222,Paul George,2017-21,62329,3.95
525,Jimmy Butler,2017-21,57522,3.95
794,Damian Lillard,2017-21,64572,3.91
429,Kevin Durant,2017-21,52885,3.8
467,Jrue Holiday,2017-21,58322,3.76
578,James Harden,2017-21,68697,3.69
170,Rudy Gobert,2017-21,57770,3.56
541,Jayson Tatum,2017-21,52725,3.55
299,Mike Conley,2017-21,35368,3.53
400,Kyle Lowry,2017-21,58513,3.28
437,Kemba Walker,2017-21,51951,3.24
707,Draymond Green,2017-21,60312,3.21
234,Otto Porter Jr.,2017-21,35636,3.03
909,Anthony Davis,2017-21,54007,2.97
446,Karl-Anthony Towns,2017-21,47225,2.9
734,Devin Booker,2017-21,55185,2.81
882,Blake Griffin,2017-21,37253,2.81
265,Nene,2017-21,13057,2.73
187,Robert Covington,2017-21,49343,2.62
738,Derrick White,2017-21,20325,2.57
937,Alex Caruso,2017-21,19513,2.54
396,Kyrie Irving,2017-21,48126,2.52
583,Jamal Murray,2017-21,51126,2.52
656,George Hill,2017-21,39733,2.48
947,Al Horford,2017-21,50547,2.46
705,Duncan Robinson,2017-21,23906,2.4
228,Patrick Beverley,2017-21,35419,2.35
40,Victor Oladipo,2017-21,34827,2.26
148,Seth Curry,2017-21,33598,2.26
519,Joe Ingles,2017-21,55494,2.22
624,Immanuel Quickley,2017-21,5495,2.22
784,Danilo Gallinari,2017-21,39019,2.19
425,Kevin Love,2017-21,35836,2.18
872,Bradley Beal,2017-21,60413,2.16
420,Khris Middleton,2017-21,61199,2.15
248,Nikola Vucevic,2017-21,46110,2.13
720,Dillon Brooks,2017-21,29106,2.13
301,Michael Porter Jr.,2017-21,17504,2.08
249,Nikola Mirotic,2017-21,24567,2.02
408,Kristaps Porzingis,2017-21,30180,2.01
