Player,MIN,PTS,FGM,FGA,F3GM,F3GA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK
Aaron Gordon,32.5,14.4,5.4,12.4,1.2,3.8,2.4,3.6,1.7,5.9,7.7,3.7,1.6,0.6,2.0
Aaron Holiday,24.5,9.5,3.5,8.5,1.3,3.3,1.1,1.3,0.3,2.0,2.4,3.4,1.3,0.2,1.8
Abdel Nader,15.8,6.3,2.2,4.8,0.9,2.3,0.9,1.2,0.3,1.6,1.8,0.7,0.8,0.4,1.4
Adam Mokoka,10.2,2.9,1.1,2.5,0.5,1.4,0.2,0.4,0.6,0.3,0.9,0.4,0.2,0.0,1.5
Admiral Schofield,11.2,3.0,1.1,2.8,0.6,1.8,0.3,0.5,0.2,1.2,1.4,0.5,0.2,0.1,1.5
Al Horford,30.2,11.9,4.8,10.6,1.5,4.2,0.9,1.2,1.5,5.3,6.8,4.0,1.2,0.9,2.1
Al-Farouq Aminu,21.1,4.3,1.4,4.8,0.5,2.0,1.1,1.6,1.3,3.5,4.8,1.2,0.9,0.4,1.5
Alec Burks,26.6,15.0,4.9,11.6,1.8,4.6,3.6,4.0,0.7,3.5,4.3,2.9,1.4,0.3,1.9
Alen Smailagic,9.9,4.2,1.4,2.9,0.2,0.9,1.1,1.4,0.7,1.2,1.9,0.9,0.8,0.3,1.0
Alex Caruso,18.4,5.5,1.9,4.5,0.6,1.9,1.1,1.5,0.3,1.7,1.9,1.9,0.8,0.3,1.5
Alex Len,17.6,8.0,3.2,5.8,0.3,1.1,1.2,1.9,1.8,4.0,5.8,0.9,1.0,0.9,2.3
Alfonzo McKinnie,14.8,4.6,1.8,4.3,0.4,1.6,0.6,0.8,0.9,1.9,2.8,0.4,0.7,0.2,1.8
Alize Johnson,6.9,2.0,0.7,1.7,0.2,0.5,0.4,0.6,0.9,1.9,2.8,0.4,0.4,0.1,0.7
Allen Crabbe,17.6,4.6,1.7,4.8,1.0,3.2,0.3,0.4,0.3,1.8,2.1,0.9,0.5,0.1,1.3
Allonzo Trier,12.1,6.5,2.1,4.4,0.8,2.2,1.4,1.8,0.3,1.0,1.2,1.2,0.9,0.2,1.2
Amile Jefferson,4.1,0.8,0.3,0.8,0.0,0.0,0.3,0.8,0.6,0.7,1.3,0.2,0.2,0.2,0.4
Amir Coffey,8.8,3.2,1.3,3.0,0.3,1.1,0.3,0.6,0.2,0.7,0.9,0.8,0.4,0.1,1.1
Andre Drummond,33.0,17.7,7.3,13.8,0.1,0.6,3.0,5.2,4.4,10.8,15.2,2.7,3.6,1.6,3.5
Andre Iguodala,19.9,4.6,1.8,4.2,0.7,2.2,0.3,0.7,0.8,2.9,3.7,2.4,1.2,1.0,1.7
Andre Roberson,12.4,2.9,1.1,4.1,0.4,2.0,0.1,0.3,1.0,2.9,3.9,0.6,0.3,0.4,1.9
Andrew Wiggins,34.4,21.8,8.1,18.1,2.1,6.2,3.5,5.0,1.2,3.9,5.1,3.7,2.4,1.0,2.4
Anfernee Simons,20.7,8.3,3.1,7.7,1.1,3.2,1.1,1.3,0.4,1.8,2.2,1.4,0.9,0.1,1.9
Ante Zizic,10.0,4.4,1.9,3.3,0.0,0.0,0.6,0.9,0.8,2.2,3.0,0.3,0.5,0.2,1.2
Anthony Davis,34.4,26.1,8.9,17.7,1.2,3.5,7.2,8.5,2.3,7.0,9.3,3.2,2.5,2.3,2.5
Anthony Tolliver,15.9,3.6,1.2,3.3,0.9,2.6,0.4,0.5,0.6,2.2,2.8,0.8,0.6,0.2,1.3
Antonius Cleveland,4.2,1.0,0.4,1.3,0.0,0.3,0.3,0.5,0.2,0.5,0.6,0.1,0.2,0.3,0.7
Anzejs Pasecniks,16.2,5.8,2.3,4.3,0.0,0.1,1.3,2.1,1.6,2.4,4.0,0.7,0.9,0.4,2.8
Aron Baynes,22.2,11.5,4.4,9.1,1.4,4.0,1.3,1.8,1.7,4.0,5.6,1.6,1.2,0.5,3.4
Austin Rivers,23.4,8.8,3.1,7.4,1.4,4.0,1.1,1.6,0.4,2.2,2.6,1.7,0.7,0.1,1.9
Avery Bradley,24.2,8.6,3.5,7.8,1.3,3.5,0.4,0.5,0.4,2.0,2.3,1.3,1.0,0.1,2.2
BJ Johnson,8.3,3.0,0.9,3.2,0.3,0.9,0.9,1.0,0.3,1.2,1.5,0.3,0.6,0.0,0.3
Bam Adebayo,33.6,15.9,6.1,11.0,0.0,0.2,3.7,5.3,2.4,7.8,10.2,5.1,2.8,1.3,2.5
Ben McLemore,22.8,10.1,3.4,7.7,2.5,6.4,0.7,0.9,0.3,1.9,2.2,0.8,0.7,0.2,2.2
Ben Simmons,35.4,16.4,6.6,11.4,0.0,0.1,3.2,5.2,2.0,5.8,7.8,8.0,3.5,0.6,3.3
Bismack Biyombo,19.4,7.4,2.8,5.2,0.0,0.0,1.7,2.8,2.3,3.5,5.8,0.9,0.9,0.9,2.2
Blake Griffin,28.5,15.5,4.9,13.9,1.5,6.2,4.2,5.4,0.9,3.7,4.7,3.3,2.2,0.4,1.5
Boban Marjanovic,9.6,6.6,2.8,4.8,0.1,0.4,1.0,1.3,1.5,3.0,4.5,0.5,0.7,0.2,1.3
Bobby Portis,21.1,10.1,4.0,8.9,1.0,2.8,1.1,1.4,1.2,3.9,5.1,1.5,1.1,0.3,1.7
Bogdan Bogdanovic,28.9,15.1,5.5,12.6,2.7,7.2,1.4,1.9,0.4,3.0,3.4,3.4,1.7,0.2,2.2
Bojan Bogdanovic,33.1,20.2,6.6,14.8,3.0,7.3,4.0,4.4,0.6,3.5,4.1,2.1,2.5,0.1,1.7
Bol Bol,12.4,5.7,2.0,4.0,0.6,1.3,1.1,1.4,0.7,2.0,2.7,0.9,1.4,0.9,1.6
Brad Wanamaker,19.3,6.9,2.3,5.1,0.5,1.4,1.8,1.9,0.3,1.7,2.0,2.5,1.1,0.2,1.9
Bradley Beal,36.0,30.5,10.4,22.9,3.0,8.4,6.8,8.0,0.9,3.3,4.2,6.1,3.4,0.4,2.2
Brandon Clarke,22.4,12.1,5.1,8.3,0.4,1.1,1.5,1.9,1.6,4.4,5.9,1.4,0.9,0.8,1.7
Brandon Goodwin,12.7,6.1,2.2,5.6,0.8,2.6,0.8,0.9,0.3,1.8,2.1,1.5,0.9,0.1,1.3
Brandon Ingram,33.9,23.8,8.2,17.7,2.4,6.2,5.0,5.9,0.8,5.3,6.1,4.2,3.0,0.6,2.9
Brandon Knight,18.5,7.3,2.4,6.7,1.8,5.2,0.8,1.4,0.2,1.5,1.6,2.8,1.5,0.1,1.6
Brian Bowen II,5.2,1.0,0.5,1.7,0.0,0.3,0.0,0.0,0.2,1.0,1.2,0.0,0.2,0.2,0.5
Brook Lopez,26.7,12.0,4.3,9.9,1.5,4.8,1.9,2.2,0.9,3.7,4.6,1.5,1.0,2.4,2.4
Bruce Brown,28.2,8.9,3.4,7.7,0.6,1.7,1.5,2.1,1.1,3.7,4.7,4.0,1.7,0.5,2.8
Bruno Caboclo,8.1,3.0,1.3,3.0,0.2,1.1,0.3,0.3,0.8,1.2,2.0,0.4,0.4,0.6,1.0
Bruno Fernando,12.7,4.3,1.8,3.6,0.1,0.7,0.5,0.9,1.2,2.3,3.5,0.9,0.8,0.3,1.9
Bryn Forbes,25.1,11.2,3.8,9.2,2.3,6.0,1.2,1.4,0.2,1.8,2.0,1.7,0.9,0.0,1.8
Buddy Hield,30.8,19.2,6.9,16.1,3.8,9.6,1.6,1.9,0.8,3.8,4.6,3.0,2.3,0.2,2.3
CJ McCollum,36.5,22.2,8.7,19.4,2.8,7.3,2.0,2.6,0.7,3.6,4.2,4.4,1.8,0.6,2.6
CJ Miles,16.1,6.4,1.9,5.9,1.1,3.5,1.5,2.0,0.4,0.8,1.2,1.2,0.4,0.4,1.4
Caleb Martin,17.6,6.2,2.1,4.7,1.1,2.1,0.9,1.2,0.6,1.6,2.1,1.3,0.8,0.4,1.8
Caleb Swanigan,10.7,2.4,1.0,1.7,0.0,0.1,0.3,0.6,1.0,2.7,3.7,1.1,1.4,0.3,2.3
Cam Reddish,26.7,10.5,3.7,9.6,1.4,4.3,1.7,2.2,0.6,3.1,3.7,1.5,1.7,0.5,2.3
Cameron Johnson,22.0,8.8,3.1,7.1,1.9,4.8,0.8,1.0,0.9,2.4,3.3,1.2,0.6,0.4,1.5
Cameron Payne,22.9,10.9,4.1,8.5,1.9,3.6,0.8,0.9,0.5,3.4,3.9,3.0,1.4,0.3,2.5
Caris LeVert,29.6,18.7,6.9,16.3,1.8,4.9,3.1,4.4,1.1,3.1,4.2,4.4,2.6,0.2,1.8
Carmelo Anthony,32.8,15.4,5.8,13.5,1.5,3.9,2.3,2.8,1.2,5.1,6.3,1.5,1.7,0.5,2.9
Carsen Edwards,9.5,3.3,1.1,3.5,0.6,2.1,0.4,0.5,0.2,1.1,1.3,0.6,0.4,0.1,0.9
Cedi Osman,29.4,11.0,4.1,9.4,1.9,4.9,1.0,1.4,0.6,3.0,3.6,2.4,1.4,0.2,2.5
Chandler Hutchison,18.8,7.8,2.9,6.3,0.4,1.4,1.6,2.8,0.6,3.2,3.9,0.9,1.0,0.3,1.7
Chandler Parsons,10.8,2.8,1.0,3.6,0.8,2.8,0.0,0.0,0.2,1.2,1.4,0.6,0.6,0.2,0.6
Charlie Brown Jr.,4.0,2.0,0.6,1.9,0.3,0.9,0.5,0.5,0.2,0.2,0.4,0.2,0.3,0.2,0.3
Chasson Randle,13.5,1.7,0.0,1.3,0.0,0.7,1.7,2.0,0.0,0.7,0.7,1.7,0.0,0.0,1.0
Cheick Diallo,10.2,4.7,2.0,3.0,0.0,0.1,0.7,0.8,0.6,2.1,2.8,0.5,0.7,0.3,1.2
Chimezie Metu,5.8,3.2,1.3,2.3,0.0,0.1,0.6,0.7,0.7,1.2,1.8,0.6,0.6,0.3,0.4
